entity_name,source_system,external_customer_key,external_customer_name,external_inn,external_kpp,query_used,resolution_method,records_total,candidate_rank
АО НПФ Сбербанка,eis,7725352740_772501001_1147799009160,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕГОСУДАРСТВЕННЫЙ ПЕНСИОННЫЙ ФОНД СБЕРБАНКА""",7725352740,772501001,НПФ Сбербанка,eis_choose_organization,0,1
АО НПФ Сбербанка,sberbank_ast,7725352740_772501001,"Акционерное общество ""Негосударственный Пенсионный Фонд Сбербанка""",7725352740,772501001,7725352740,ast_long_dictionary,5,1
АО Сбербанк Лизинг,eis,7707009586_503201001_1027739000728,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК ЛИЗИНГ""",7707009586,503201001,Сбербанк Лизинг,eis_choose_organization,0,1
АО Сбербанк Лизинг,sberbank_ast,7707009586_503201001,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК ЛИЗИНГ""",7707009586,503201001,7707009586,ast_long_dictionary,701,1
АО Сбербанк-АСТ,eis,07730000042,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ""",7707308480,770401001,Сбербанк-АСТ,eis_choose_organization,0,1
АО Сбербанк-АСТ,sberbank_ast,7707308480_770701001,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ""",7707308480,770701001,7707308480,ast_long_dictionary,0,1
АО Сбербанк-АСТ,sberbank_ast,7707308480_770401001,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ""",7707308480,770401001,7707308480,ast_long_dictionary,239,2
АО Сбербанк-АСТ,zakazrf,202380,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ""",7707308480,,7707308480,zakazrf_customer_dialog,0,1
ООО Домклик,eis,12007000072,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОМКЛИК""",7736249247,773001001,Домклик,eis_choose_organization,0,1
ООО Домклик,sberbank_ast,7736249247_773001001,"Общество с ограниченной ответственностью ""Домклик""",7736249247,773001001,7736249247,ast_long_dictionary,37,1
ООО Домклик,zakazrf,503467,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР НЕДВИЖИМОСТИ ОТ СБЕРБАНКА""",7736249247,,7736249247,zakazrf_customer_dialog,0,1
ООО ЕАПТЕКА,sberbank_ast,7704865540_770401001,ООО еАптека,7704865540,770401001,ЕАПТЕКА,ast_long_dictionary,48,1
ООО Купер,sberbank_ast,7460048149_746001001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУПЕР""",7460048149,746001001,Купер,ast_long_dictionary,0,1
ООО Купер,sberbank_ast,7017357210_701701001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУПЕР""",7017357210,701701001,Купер,ast_long_dictionary,0,2
ООО Купер,sberbank_ast,5003111780_500301001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУПЕР""",5003111780,500301001,Купер,ast_long_dictionary,0,3
